Hotel Name,ADDRESS,State,PHONE,FAX,EMAIL ID,WEBSITE,TYPE,Rooms
The Oberoi Cecil, Ambedkar ChowkChaura Maidan  Shimla - 171004  HIMACHAL PRADESH ,Himachal Pradesh,0177-2804848 ,0177-2811024,reservations@oberoigroup.com,www.oberoihotels.com,Heritage Grand,75
The Lalit Grand Palace, Gupkar Road  Srinagar  JAMMU AND KASHMIR ,Jammu And Kashmir,1942501001,1942501003,srinagar@thelalit.com,NA,Heritage Grand,112
Hotel Fateh Prakash Palace, The City Palace Complex  Udaipur - 313001  RAJASTHAN ,Rajasthan,0294-2528016-9,0294-2528006,mgrfpp@udaipur.hrhindia.com,www.hrhindia.com,Heritage Grand,30
Shiv Niwas Palace, The City Palace Complex Udaipur  Udaipur  RAJASTHAN ,Rajasthan,2942528016,2942528006,maltidutta50@yahoo.com,NA,Heritage Grand,36
Savoy Hotel , 77  Sylks Road  Ootacamund  TAMIL NADU ,Tamil Nadu,423244142,423443318,savoy.ooty@tajhotels.com,NA,Heritage Grand,40
Raheem Residency, 20/1100 Beach Road  Alleppey West - 688 012  KERALA ,Kerala,0477-2230767,0477-2239767,contact@raheemresidency.com,www.raheemresidency.com,Heritage Classic,10
Noor Us Sabah Palace, V.I.P Road Koh-E-Fiza  Bhopal - 462001  MADHYA PRADESH ,Madhya Pradesh,0755-4223333/4239996,0755-4227777,contact@noorussabahpalace.com/reservations@nusp.in,www.noorussabahpalace.com,Heritage Classic,57
The Panjim Inn , 31-ST JANUARY ROAD  FONTAINHAS  PANAJI  Panaji   GOA ,Goa,4564277301,4565273111,visalam@cghearth.com,www.cghearth.com,Heritage Basic,15
Balaram Palace Resort, Chitrassani Village off Abu Palanpur Highway No.14 Banaskantha  BANASKANTHA  GUJARAT ,Gujarat,07926575286  2657638,7926578412,balarampalaceresort@gmail.com,NA,Heritage Basic,22
Nilambag Palace Hotel, Bhavnagar  Bhavnagar  GUJARAT ,Gujarat,02782424241  2429323,2782428072,reservation@nilambagpalace.com,NA,Heritage Basic,28
The Fort Ramgarh, Ramgarh  Panchkula On NH - 73 Delhi Shimla Highway    Chandigarh  Panchkula Distt.  HARYANA ,Haryana,01733253072-75  9814,NA,thefortramgarh@gmail.com,NA,Heritage Basic,12
The Judges Court, Heritage Village Paragpur  Distt. - Kangra - 177107  HIMACHAL PRADESH ,Himachal Pradesh,01970-245035/245335,01970-245823,eries@vsnl.com/info@judgescourt.com,www.judgescourt.com,Heritage Basic,10
The Palace, Chail  Solan HIMACHAL PRADESH ,Himachal Pradesh,1772652704,1772652206,maltidutta50@yahoo.com,NA,Heritage Basic,31
The Castle Naggar, Naggar  Distt. Kullu - 175130  HIMACHAL PRADESH ,Himachal Pradesh,1902248316,1902223429,castle@hptddc.in/kullu@hptdc.in,Www.hptdc.nic.in,Heritage Basic,17
Hotel Cherthala House, Court Junction East of P.M.C. - 5  cherthala - 688 524  KERALA ,Kerala,0475-2223688,,housecherthala@hotmail.com,NA,Heritage Basic,5
Heritaga Methanam, K P XI / 298   Perumpadappu  Kumbalanghi Bridge KERALA ,Kerala,4842248284,4842248284,heritagemethanam@gmail.com/info@heritagemethanam.com,www.heritagemethanam.com,Heritage Basic,7
Old Lighthouse Bristow Hotel , Beach Road Next to SBI Training Center Fort Kochi   Cochin   KERALA ,Kerala,4843050102,NA,reservations@oldlighthousehotel.com,NA,Heritage Basic,11
Hotel Le Colonial , 1/215  Church Road  Vasco-da-Gama Square  Fort Cochin   KERALA ,Kerala,4842217181,4842217184,lecolonial@dataone.in,NA,Heritage Basic,8
Kunnathur Mana Ayurveda Heritage, Door No.VIII/666 Punnayurkulam P.O. Thrissur Dist  Kerala  KERALA ,Kerala,0487 2547552  254755,4872547554,mail@kmaheritage.com,NA,Heritage Basic,7
Old Harbour Hotel, No-1/328  Tower Road  Fort Kochi   Kochi   KERALA ,Kerala,4842218006,NA,raintree@fortcochin.com,NA,Heritage Basic,13
Coconut Lagoon, P.O. Box No. 2 Kumarakom  Kottayam - 686563  KERALA ,Kerala,0481-2524491-2524373,0481-2524495,coconutlagoon@cghearth.com,www.cghearth.com,Heritage Basic,36
Beach Hotel,  Beach Heritage Inn  P  Ltd. Beach Road  Kozhikode - 673032  KERALA ,Kerala,0495-2762055-57,0495-2365363,info@beachheritage.com,www.beachheritage.com,Heritage Basic,6
Palakkad Heritage Hotels, Koduvayur P.O. Palakkad  Dist.  KERALA  ,Kerala,4923252143,4923252144,info@palakkadheritagehotel.com,www.palakkadheritagehotel.com,Heritage Basic,5
Somatheeram Ayurvedic Beach Resort  P  Ltd., P.O. Chowara Via Balaramapuram  Thiruvananthapuram - 695501  KERALA ,Kerala,0471-2268101,0471-2267600,mail@somatheeram.in,www.somatheeram.in,Heritage Basic,42
The Hillway Heritage, Opp. Police Station  State Highway – 1 Kilimanoor P.O.  Thiruvananthapuram - 695601  KERALA ,Kerala,4702673555,NA,mail@hillwayhotels.com,www.hillwayhotels.com,Heritage Basic,6
Ahilya Fort , Ahilya Fort  Maheshwar  W Nimar   Bhopal   MADHYA PRADESH ,Madhya Pradesh,7283273329,NA,info@ahilyafort.com,www.ahilyafort.com,Heritage Basic,15
Hotel Rock End Manor , Pachmarhi Distt.  HOSHANGABAD   MADHYA PRADESH ,Madhya Pradesh,7552774340,7552779476,info@mptourism.com,www.mptourism.com,Heritage Basic,6
Satpura Retreat, Pachmarhi  Dist. Hosangabad  MADHYA PRADESH ,Madhya Pradesh,07578-252097,NA,satpura@mptourism.com,www.mptourism.com,Heritage Basic,6
Hotel Sheesh Mahal , MPSTDC  Orchha  Tikamgarh Dist.   MADHYA PRADESH ,Madhya Pradesh,7552774340,7552779476,info@mptourism.com,www.mptourism.com,Heritage Basic,8
Jehan Numa Palace Hotel , 157  SHAMLA HILL M.P    Bhopal   MADHYA PRADESH ,Madhya Pradesh,755661100,755661720,NA,www.hoteljehanumapalace.com,Heritage Basic,98
Le Dupleix ,  unit of auberge Heritage Hotels  5  CASERNE STREET   Pondicherry  PONDICHERRY ,Pondicherry,4132666001,4132334258,gmldp@sarovarhotels.com,NA,Heritage Basic,21
Calve, A Heritage HotelOld No. 36  New No. 44  Vysial Street  Puducherry - 605 001  PUDUCHERRY ,Pondicherry,0413-2224103-2223738,413-2222613,whclve@gmail.com/calve@vsnl.net,www.calve.in,Heritage Basic,11
Welcome Heritage  Khimsar Fort, Khimsar  RAJASTHAN  ,Rajasthan,1585262345,1585262228,reservation@khimsar.com,NA,Heritage Basic,67
The Bagh , Agra Achnara Road Pucca Bagh Bharatpur  Bharatpur  RAJASTHAN  ,Rajasthan,1733253072,1733253072,contact@thefortramgarh.com,NA,Heritage Basic,29
Gajner Palace, P.O. GajnerTehsil : Kolayat  Bikaner - 334001  RAJASTHAN ,Rajasthan,01534-275061-9,01534-275060,egmnr@gajner.hrhindia.com,www.hrhindia.com,Heritage Basic,45
The Laxmi Niwas Palace , Dr. Karni Singhji Road  Bikaner  RAJASTHAN ,Rajasthan,8322226523,8322435220,panjimin@bsnl.in,NA,Heritage Basic,24
Chomu Palace,   Main ChomuBus Stand  Chomu - 303702  RAJASTHAN ,Rajasthan,01423-300400,01423-300400,gm@chomupalacehotel.com/info@chomupalacehotel.com,www.chomupalacehotel.com,Heritage Basic,58
Bissau Palace , Outside Chandpole Gate   Jaipur  RAJASTHAN ,Rajasthan,1412304371,1412304628,bissau@sancharnet.in,www.bissaupalace.com,Heritage Basic,50
Deogarh Resorts, Deogarh MahalP.O. Deogarh Madariya  Distt. Rajsamand - 313331  RAJASTHAN ,Rajasthan,02904-252777,02904-252555,deogarh@datainfosys.net,www.deogarhmahal.com,Heritage Basic,45
Shikarbadi Hotel, Goverdhan Vilas  Udaipur - 313001  RAJASTHAN ,Rajasthan,0294-2583200/04,0294-2584841,shikarbadi@hrhhotels.com,www.hrhhotels.com,Heritage Basic,25
Welcom Heritage - Koolwal Kothi, House No. 40   Government Hospital RoadNawal Garh District  Jhunjhunu  RAJASTHAN ,Rajasthan,01594-225817,01594-225818,indralokhotels@hotmail.com/holidays@welcomheritagehotels.com,www.welcomheritagehotels.com,Heritage Basic,10
Ajit Bhawan,   Circuit House  Jodhpur - 342 006  RAJASTHAN ,Rajasthan,0291-2513333  251141,0291-2510674,reservations@ajitbhawan.com,www.ajitbhawan.com,Heritage Basic,70
Hotel Samode Palace, Village Samode  Dist. Jaipur - 303806  RAJASTHAN ,Rajasthan,01423-240014,01423-240023,reservations@samode.com,www.samode.com,Heritage Basic,43
Raj Niwas Palace, National Highway-3  Dholpur - 328 001  RAJASTHAN ,Rajasthan,05642-220216,05642-224888,info@dholpurpalace.com,www.dholpurpalace.com,Heritage Basic,20
Hotel Castle Mandawa Pvt.Ltd., Mandawa Jhunjhunu District  Shekhawati - 333704  RAJASTHAN ,Rajasthan,0141-2371194/2374112,0141-2372084,reservation@castlemandawa.com/castle@datainfosys.net,www.castlemandawa.com,Heritage Basic,70
Rohet Garh, Village P.O Rohet Distt. Pali  Rajasthan  RAJASTHAN ,Rajasthan,2936268231,2912649368,rohethouse@dataone.in,NA,Heritage Basic,34
